id,name,query
53e70a5b-5e08-4dd7-ab48-82a682c9bce0,"Psmi Ambulances T/A Emras-beitbridge","97 Parklane Drive, Beitbridge, Matabeleland South"
9f5a4c92-36ca-4c11-94c8-61c3bb53b56d,"Script Hub Pharmacy","4715 Mbedzi, Beitbridge, Matabeleland South"
15aa79bb-bc16-4ea6-9e54-6d73b8808cf3,"Smartvale","8590 Kwalu, Beitbridge, Matabeleland South"
31963392-840c-44f4-b9d7-0d51fe752898,"Smartvale Medical Centre","5980 Kwalu, Beitbridge, Matabeleland South"
c87ea8bb-6b6a-4a33-87ba-b457dd508b57,"Trasel Medical Centre","7222 Mabidi Suburb, Beitbridge, Matabeleland South"
49aa8ebb-cc89-4ee6-b309-ea3182badab5,"Zrp-beitbridge Camp Clinic","Beitbridge Camp, Beitbridge, Matabeleland South"
ebc5ad95-fa81-4f56-a185-b4ea0dc08537,"Shelley Pharmacy T/A Court Pharmacies","2 A Fairways Building, Belgravia, Harare"
dff95a59-f808-4ccb-b6af-dbc320d87153,"Aerod Pharmacy-bindura","7873 Acrodrome, Bindura, Mashonaland Central"
39d19634-a0c9-467e-8822-4b9b2a85473b,"Affinity Pharmacy","58 Chipindura Shops, Bindura, Mashonaland Central"
e12e5e1f-6f97-4e07-87c8-511376c88c53,"Avaset Pharmacy","1587 Chiwaridzo, Bindura, Mashonaland Central"
d81a6f42-3f34-4cb8-8fc7-c6004d2c89d5,"BB & T Medical & Dental Surgeries","Kalmic House Corner Main Street / Appleby, Bindura, Mashonaland Central"
243b5041-26ff-4d4f-bf21-a86a5808bde3,"Bestzone Pharmacy","749 Border Gezi Avenue, Bindura, Mashonaland Central"
75ea5609-712d-445c-bb3e-61f701055179,"Bestzone Pharmacy","Stand Number 1931 Bindura CBD, Bindura, Mashonaland Central"
32afeb08-e391-45e7-a354-5ea194d0f79a,"Bindura Dental Surgery","106 York Street, Bindura, Mashonaland Central"
66f1f0d1-72ff-40d7-ae42-e80ef2fbb945,"Bindura Family Clinic","Stand Number 1924 New Commercial Stands, Bindura, Mashonaland Central"
b087f2a2-2ba3-49c1-a9c7-dd83a336bcd7,"Bindura Medi Centre","Stand 76 Cnr Main Street/ Second Street, Bindura, Mashonaland Central"
4c2c2fdc-059e-49ac-96c3-83fdd9f5e054,"Bindura Medi-clinic","76 Cnr Main And Second Street, Bindura, Mashonaland Central"
25013d3a-ff97-4fb9-94f7-294e1d76383c,"Bindura Medi-clinic Dental Surgery","76 Cnr Street/2nd Street, Bindura, Mashonaland Central"
8e5b6637-ee80-40f4-a265-4d3059bebda8,"Bindura Medi Clinic Radiology","Stand No.76 Cnr First/second Street, Bindura, Mashonaland Central"
56424e5c-6dc1-4624-957b-2dac0a619f84,"Bindura Municiplity-chipadze Clinic","1 Hwakanandi Street Chipadze, Bindura, Mashonaland Central"
af132907-778f-43c8-a1ee-4f14a48f4fb5,"Bindura Municiplity -chiwaridzo Polyclinic","Chiwaridzo Road Chiwaridzo, Bindura, Mashonaland Central"
